Disease Term,Body Weight,Pain,Obesity,Anoxia,Mental Retardation,Seizures,Diarrhea,Angina Pectoris,Edema,Birth Weight,Fever,"Pain, Postoperative",Deafness,Headache,Vision Disorders,Weight Loss,Weight Gain,Proteinuria,Vomiting,Psychophysiologic Disorders,Urinary Incontinence,Fatigue,Paralysis,Blindness,Back Pain,Dyspnea,Hearing Disorders,Sleep Disorders,Memory Disorders,Nausea,Learning Disorders,Abdominal Pain,Low Back Pain,"Hearing Loss, Sensorineural",Cough,Paraplegia,Dizziness,Albuminuria,Coma,Hemiplegia,Facial Paralysis,Speech Disorders,Constipation,Jaundice,"Obesity, Morbid",Muscle Weakness,Syncope,Hallucinations,"Urinary Incontinence, Stress",Hypothermia,Aphasia,"Abdomen, Acute",Muscular Atrophy,Chest Pain,Vertigo,"Angina, Unstable",Pruritus,Tremor,Neurologic Manifestations,Ophthalmoplegia,Hypercapnia,Overweight,Dyspepsia,Hearing Loss,Quadriplegia,Intermittent Claudication,"Diarrhea, Infantile",Neuralgia,Muscle Spasticity,"Urinary Bladder, Neurogenic",Sleep Deprivation,Respiratory Sounds,Apnea,Ataxia,Spasm,Amnesia,"Purpura, Thrombocytopenic",Dyslexia,Hyperalgesia,"Hearing Loss, Noise-Induced",Dystonia,Amblyopia,"Pain, Intractable",Language Disorders,"Cardiac Output, Low",Tinnitus,Hyperventilation,Paresthesia,Decerebrate State,Perceptual Disorders,Delirium,Bulimia,Hemoptysis,Psychomotor Disorders,Vocal Cord Paralysis,Myoclonus,Facial Pain,Purpura,"Reflex, Abnormal",Acute Coronary Syndrome,Paresis,Voice Disorders,Language Development Disorders,Sciatica,"Purpura, Thrombocytopenic, Idiopathic",Illusions,Diplopia,Cyanosis,Anorexia,Arthralgia,Hyperkinesis,Color Vision Defects,Cachexia,Chorea,Neck Pain,Confusion,Colic,Unconsciousness,"Purpura, Thrombotic Thrombocytopenic",Fever of Unknown Origin,Sensation Disorders,Hypergammaglobulinemia,Cerebellar Ataxia,"Purpura, Schoenlein-Henoch",Hirsutism,Eye Manifestations,Psychomotor Agitation,Pelvic Pain,Snoring,Dysmenorrhea,Fetal Distress,Stuttering,Heart Murmurs,Torticollis,Skin Manifestations,"Hearing Loss, Conductive",Thinness,"Gait Disorders, Neurologic",Fetal Hypoxia,Olfaction Disorders,Postoperative Nausea and Vomiting,Muscle Hypotonia,Scotoma,Hemianopsia,Persistent Vegetative State,Catalepsy,Tetany,Shoulder Pain,"Jaundice, Obstructive",Cerebrospinal Fluid Rhinorrhea,Toothache,Apraxias,Motion Sickness,Hyperphagia,Hyperoxia,Hypesthesia,Agnosia,Oral Hemorrhage,"Angina Pectoris, Variant",Hot Flashes,Muscle Cramp,Hematemesis,Catatonia,Virilism,Consciousness Disorders,"Vision, Low",Polyuria,Hydrops Fetalis,Muscle Rigidity,"Supranuclear Palsy, Progressive",Dysarthria,Horner Syndrome,Hypoventilation,"Hearing Loss, Bilateral","Urinary Bladder, Overactive",Oral Manifestations,Hoarseness,Fetal Macrosomia,Heartburn,"Hearing Loss, Sudden",Phantom Limb,Respiratory Paralysis,Mobility Limitation,"Aphasia, Broca",Articulation Disorders,Communication Disorders,Asthenia,"Syncope, Vasovagal",Athetosis,Taste Disorders,"Akathisia, Drug-Induced",Pseudophakia,Tinea Pedis,Hyperemesis Gravidarum,Trismus,Flatulence,Hemoglobinuria,Dyskinesias,Mouth Breathing,Presbycusis,Myotonia,Fetal Weight,Flushing,Mental Fatigue,Oliguria,Ecchymosis,Cerebrospinal Fluid Otorrhea,Halitosis,Gastroparesis,Anomia,Hypokinesia,Hiccup,Auditory Perceptual Disorders,Mutism,"Hearing Loss, High-Frequency","Dyslexia, Acquired","Aphasia, Wernicke",Somatosensory Disorders,Hyperesthesia,"Amnesia, Retrograde",Agraphia,Sneezing,Muscle Hypertonia,Eye Hemorrhage,Hypocapnia,Pupil Disorders,Emaciation,Encopresis,Hemifacial Spasm,Cheyne-Stokes Respiration,Fasciculation,"Aging, Premature",Tics,Earache,Respiratory Aspiration,Feminization,Paraparesis,"Edema, Cardiac",Labor Pain,"Neuralgia, Postherpetic",Waterhouse-Friderichsen Syndrome,"Ophthalmoplegia, Chronic Progressive External","Blindness, Cortical",Gagging,"Hearing Loss, Central",Photophobia,Dysphonia,"Urinary Incontinence, Urge",Prostatism,Miosis,Hyperacusis,Prosopagnosia,Gait Ataxia,"Dyspnea, Paroxysmal",Flank Pain,"Reflex, Babinski","Paraparesis, Spastic",Eructation,Korsakoff Syndrome,Cafe-au-Lait Spots,Nocturia,"Aphasia, Primary Progressive","Hearing Loss, Unilateral",Aphonia,Hypercalciuria,Aerophagy,Pallor,Glossalgia,"Purpura, Hyperglobulinemic",Meningism,"Amnesia, Transient Global",Brown-Sequard Syndrome,Dysgeusia,Sarcopenia,"Vomiting, Anticipatory",Coprophagia,Anisocoria,Echolalia,Amaurosis Fugax,"Amnesia, Anterograde",Space Motion Sickness,Ageusia,Usher Syndromes,Gerstmann Syndrome,"Hearing Loss, Functional","Apraxia, Ideomotor","Cardiac Output, High","Pain, Referred",Neurobehavioral Manifestations,Lethargy,"Hearing Loss, Mixed Conductive-Sensorineural",Dysuria,Chills,Tonic Pupil,Metatarsalgia,Myokymia,Orthostatic Intolerance,Pseudobulbar Palsy,Gait Apraxia,Livedo Reticularis,Morning Sickness,Synkinesis,Purpura Fulminans,Renal Colic,Stupor,"Alexia, Pure","Aphasia, Conduction",Urinoma,Eye Pain,Reticulocytosis,Systolic Murmurs,Deaf-Blind Disorders,Susac Syndrome,Sweating Sickness,Primary Progressive Nonfluent Aphasia,Piriformis Muscle Syndrome,Striae Distensae,Alien Hand Syndrome,Necrolytic Migratory Erythema,Body Weight Changes,Slit Ventricle Syndrome,Infantile Apparent Life-Threatening Event,
Breast Neoplasms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Hypertension,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Coronary Artery Disease,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung Neoplasms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myocardial Infarction,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIV Infections,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronary Disease,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenocarcinoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dementia,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
